"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"66",66,"2000-09-23","Middlesbrough","Aston Villa","Gary Walsh","Gianluca Festa","Curtis Fleming","Colin Cooper","Paul Ince","Robbie Mustoe","Keith O'Neill","Phil Stamp","Mark Summerbell","Alen Boksic","Joseph-Desire Job","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","George Boateng","David Ginola","Paul Merson","Steve Stone","Ian Taylor"
"67",67,"2000-09-23","Newcastle","Charlton","Shay Given","Laurent Charvet","Andy Griffin","Aaron Hughes","Alain Goma","Nolberto Solano","Gary Speed","Daniel Cordone","Kieron Dyer","Carl Cort","Alan Shearer","Dean Kiely","Paul Konchesky","Steve Brown","Richard Rufus","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Jonatan Johansson"
"68",68,"2000-09-23","Tottenham","Man City","Neil Sullivan","Stephen Carr","Chris Perry","Ramon Vega","Ben Thatcher","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Les Ferdinand","Steffen Iversen","Sergei Rebrov","Nicky Weaver","Gerard Wiekens","Steve Howey","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Jeff Whitley","Paul Dickov","Paulo Wanchope"
"69",69,"2000-09-24","Leicester","Everton","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Darren Eadie","Steve Guppy","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi","Paul Gerrard","David Unsworth","Steve Watson","David Weir","Richard Dunne","Niclas Alexandersson","Paul Gascoigne","Thomas Gravesen","Alex Nyarko","Kevin Campbell","Francis Jeffers"
"70",70,"2000-09-30","Aston Villa","Derby","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","David Ginola","Lee Hendrie","Paul Merson","Steve Stone","Ian Taylor","Mart Poom","Danny Higginbotham","Stefan Schnoor","Bjorn Otto Bragstad","Chris Riggott","Craig Burley","Stefano Eranio","Seth Johnson","Darryl Powell","Deon Burton","Malcolm Christie"
"71",71,"2000-09-30","Charlton","Coventry","Dean Kiely","Paul Konchesky","Steve Brown","Richard Rufus","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Jonatan Johansson","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","John Eustace","Carlton Palmer","Paul Telfer","John Aloisi","Craig Bellamy"
"72",72,"2000-09-30","Everton","Ipswich","Paul Gerrard","David Unsworth","Steve Watson","David Weir","Niclas Alexandersson","Paul Gascoigne","Scot Gemmill","Thomas Gravesen","Alex Nyarko","Kevin Campbell","Joe-Max Moore","Richard Wright","John McGreal","Titus Bramble","Hermann Hreidarsson","Richard Naylor","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","Marcus Stewart"
"73",73,"2000-09-30","Leeds","Tottenham","Nigel Martyn","Garry Kelly","Danny Mills","Lucas Radebe","Dominic Matteo","Ian Harte","Eirik Bakke","Lee Bowyer","Olivier Dacourt","Alan Smith","Mark Viduka","Neil Sullivan","Stephen Carr","Chris Perry","Ramon Vega","Ben Thatcher","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Les Ferdinand","Steffen Iversen","Sergei Rebrov"
"74",74,"2000-09-30","Man City","Newcastle","Tommy Wright","Gerard Wiekens","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Jeff Whitley","Paul Dickov","Paulo Wanchope","George Weah","Shay Given","Laurent Charvet","Didier Domi","Andy Griffin","Aaron Hughes","Gary Speed","Daniel Cordone","Kieron Dyer","Rob Lee","Kevin Gallacher","Alan Shearer"
"75",75,"2000-09-30","Southampton","Middlesbrough","Paul Jones","Jason Dodd","Claus Lundekvam","Dean Richards","Tahar El Khalej","Wayne Bridge","Hassan Kachloul","Matt Oakley","Matt Le Tissier","Marian Pahars","Uwe Rosler","Gary Walsh","Gianluca Festa","Curtis Fleming","Steve Vickers","Colin Cooper","Paul Ince","Christian Karembeu","Robbie Mustoe","Keith O'Neill","Alen Boksic","Hamilton Ricard"
"76",76,"2000-09-30","West Ham","Bradford","Shaka Hislop","Stuart Pearce","Igor Stimac","Rio Ferdinand","Nigel Winterburn","Michael Carrick","Joe Cole","Steve Lomas","Trevor Sinclair","Paolo Di Canio","Frederic Kanoute","Matt Clarke","Peter Atherton","David Wetherall","Dan Petrescu","Wayne Jacobs","Jamie Lawrence","Stuart McCall","Gareth Whalley","Benito Carbone","Ashley Ward","Dean Windass"
"77",77,"2000-10-01","Arsenal","Man United","David Seaman","Oleg Luzhny","Tony Adams","Martin Keown","Gilles Grimandi"," Silvinho","Freddie Ljungberg","Ray Parlour","Dennis Bergkamp","Thierry Henry","Nwankwo Kanu","Fabien Barthez","Gary Neville","Mikael Silvestre","Ronny Johnsen","Denis Irwin","David Beckham","Ryan Giggs","Roy Keane","Paul Scholes","Andrew Cole","Teddy Sheringham"
"78",78,"2000-10-01","Chelsea","Liverpool","Ed De Goey"," Albert Ferrer","Mario Melchiot","Marcel Desailly","Frank Leboeuf","Graeme Le Saux","Samuele Dalla Bona","Dennis Wise","Eidur Gudjohnsen","Jimmy Floyd Hasselbaink","Gianfranco Zola","Sander Westerveld","Markus Babbel","Stephane Henchoz","Sami Hyypia","Jamie Carragher","Steven Gerrard","Dietmar Hamann","Christian Ziege","Nick Barmby","Emile Heskey","Michael Owen"
"79",79,"2000-10-01","Sunderland","Leicester","Thomas Sorensen","Chris Makin","Jody Craddock","Emerson Thome","Julio Arca","Kevin Kilbane","Darren Williams","Michael Gray","Don Hutchison","Kevin Phillips","Niall Quinn","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Callum Davidson","Darren Eadie","Andy Impey","Neil Lennon","Robbie Savage","Ade Akinbiyi","Richard Cresswell"
"80",80,"2000-10-14","Arsenal","Aston Villa","David Seaman","Lee Dixon","Tony Adams","Gilles Grimandi","Bissan Lauren"," Silvinho","Ray Parlour","Robert Pires","Patrick Vieira","Dennis Bergkamp","Thierry Henry","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","Lee Hendrie","Paul Merson","Steve Stone","Ian Taylor","Julian Joachim"
"81",81,"2000-10-14","Coventry","Tottenham","Chris Kirkland","Marc Edworthy","Gary Breen","Richard Shaw","Youssef Chippo","John Eustace","Mustapha Hadji","Carlton Palmer","Paul Telfer","John Aloisi","Craig Bellamy","Ian Walker","Stephen Carr","Chris Perry","Ramon Vega","Ben Thatcher","Darren Anderton","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Les Ferdinand","Sergei Rebrov"
"82",82,"2000-10-14","Everton","Southampton","Paul Gerrard","Steve Watson","David Weir","Richard Dunne","Michael Ball","Paul Gascoigne","Thomas Gravesen","Alex Nyarko","Mark Pembridge","Kevin Campbell","Mark Hughes","Paul Jones","Jason Dodd","Claus Lundekvam","Tahar El Khalej","Wayne Bridge","Hassan Kachloul","Chris Marsden","Matt Oakley","Trond Egil Soltvedt","Kevin Davies","Marian Pahars"
"83",83,"2000-10-14","Ipswich","West Ham","Richard Wright","John McGreal","Hermann Hreidarsson","Mark Venus","Richard Naylor","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","Marcus Stewart","Shaka Hislop","Stuart Pearce","Igor Stimac","Rio Ferdinand","Nigel Winterburn","Joe Cole","Frank Lampard","Steve Lomas","Trevor Sinclair","Paolo Di Canio","Frederic Kanoute"
"84",84,"2000-10-14","Leeds","Charlton","Nigel Martyn","Garry Kelly","Danny Mills","Jonathan Woodgate","Dominic Matteo","Ian Harte","Eirik Bakke","Lee Bowyer","Jacob Burns","Alan Smith","Mark Viduka","Dean Kiely","Paul Konchesky","Steve Brown","Richard Rufus","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Jonatan Johansson","Kevin Lisbie"
"85",85,"2000-10-14","Leicester","Man United","Tim Flowers","Gary Rowett","Matt Elliott","Phil Gilchrist","Callum Davidson","Darren Eadie","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi","Fabien Barthez","Wes Brown","Mikael Silvestre","Ronny Johnsen","Denis Irwin","Nicky Butt","Quinton Fortune","Roy Keane","Teddy Sheringham","Ole Gunnar Solskjaer","Dwight Yorke"
"86",86,"2000-10-14","Man City","Bradford","Nicky Weaver","Gerard Wiekens","Steve Howey","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Danny Tiatto","Jeff Whitley","Mark Kennedy","Paul Dickov","Paulo Wanchope","Matt Clarke","Peter Atherton","David Wetherall","Dan Petrescu","Ian Nolan","Peter Beagrie","Jamie Lawrence","Stuart McCall","Benito Carbone","Ashley Ward","Dean Windass"
"87",87,"2000-10-14","Sunderland","Chelsea","Thomas Sorensen","Chris Makin","Jody Craddock","Emerson Thome","Julio Arca","Kevin Kilbane","Darren Williams","Michael Gray","Alex Rae","Kevin Phillips","Niall Quinn","Ed De Goey"," Albert Ferrer","Mario Melchiot","Marcel Desailly","Frank Leboeuf","Graeme Le Saux","Samuele Dalla Bona","Dennis Wise","Eidur Gudjohnsen","Jimmy Floyd Hasselbaink","Gianfranco Zola"
"88",88,"2000-10-15","Derby","Liverpool","Mart Poom","Bjorn Otto Bragstad","Chris Riggott","Rory Delap","Craig Burley","Stefano Eranio","Seth Johnson","Georgi Kinkladze","Darryl Powell","Simo Valakari","Malcolm Christie","Sander Westerveld","Vegard Heggem","Markus Babbel","Sami Hyypia","Jamie Carragher","Patrik Berger","Gary McAllister","Christian Ziege","Nick Barmby","Emile Heskey","Michael Owen"
"89",89,"2000-10-16","Middlesbrough","Newcastle","Mark Crossley","Gianluca Festa","Curtis Fleming","Colin Cooper","Gary Pallister","Dean Gordon","Paul Ince","Christian Karembeu","Robbie Mustoe","Alen Boksic","Hamilton Ricard","Shay Given","Laurent Charvet","Didier Domi","Aaron Hughes","Alain Goma","Nolberto Solano","Gary Speed","Daniel Cordone","Kieron Dyer","Rob Lee","Alan Shearer"
"90",90,"2000-10-21","Bradford","Ipswich","Matt Clarke","Peter Atherton","David Wetherall","Dan Petrescu","Ian Nolan","Peter Beagrie","Jamie Lawrence","Stuart McCall","Benito Carbone","Ashley Ward","Dean Windass","Richard Wright","John McGreal","Hermann Hreidarsson","Mark Venus","Richard Naylor","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","Marcus Stewart"
"91",91,"2000-10-21","Charlton","Middlesbrough","Dean Kiely","Steve Brown","Carl Tiler","Andy Todd","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Jonatan Johansson","Charlie MacDonald","Mark Crossley","Curtis Fleming","Colin Cooper","Ugo Ehiogu","Gary Pallister","Dean Gordon","Paul Ince","Christian Karembeu","Andy Campbell","Brian Deane","Hamilton Ricard"
"92",92,"2000-10-21","Chelsea","Coventry","Ed De Goey"," Albert Ferrer","Mario Melchiot","Marcel Desailly","Frank Leboeuf","Celestine Babayaro","Samuele Dalla Bona","Gus Poyet","Dennis Wise","Jimmy Floyd Hasselbaink","Gianfranco Zola","Chris Kirkland","Marc Edworthy","Gary Breen","Paul D Williams","Youssef Chippo","John Eustace","Mustapha Hadji","Carlton Palmer","Paul Telfer","John Aloisi","Craig Bellamy"
"93",93,"2000-10-21","Liverpool","Leicester","Sander Westerveld","Markus Babbel","Sami Hyypia","Patrik Berger","Steven Gerrard","Dietmar Hamann","Gary McAllister","Christian Ziege","Nick Barmby","Robbie Fowler","Emile Heskey","Tim Flowers","Gary Rowett","Matt Elliott","Phil Gilchrist","Callum Davidson","Darren Eadie","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Richard Cresswell"
"94",94,"2000-10-21","Man United","Leeds","Fabien Barthez","Gary Neville","Mikael Silvestre","Ronny Johnsen","Phil Neville","Nicky Butt","Quinton Fortune","Roy Keane","Paul Scholes","Ole Gunnar Solskjaer","Dwight Yorke","Paul Robinson","Garry Kelly","Danny Hay","Jonathan Woodgate","Dominic Matteo","Lee Bowyer","Jacob Burns","Matthew Jones","Stephen McPhail","Alan Smith","Mark Viduka"
"95",95,"2000-10-21","Newcastle","Everton","Shay Given","Warren Barton","Didier Domi","Aaron Hughes","Alain Goma","Nolberto Solano","Gary Speed","Daniel Cordone","Kieron Dyer","Rob Lee","Alan Shearer","Paul Gerrard","Steve Watson","David Weir","Michael Ball","Abel Xavier","Paul Gascoigne","Thomas Gravesen","Alex Nyarko","Mark Pembridge","Idan Tal","Kevin Campbell"
"96",96,"2000-10-21","Tottenham","Derby","Neil Sullivan","Stephen Carr","Chris Perry","Ramon Vega","Ben Thatcher","Darren Anderton","Stephen Clemence","Oyvind Leonhardsen","Tim Sherwood","Les Ferdinand","Sergei Rebrov","Mart Poom","Danny Higginbotham","Bjorn Otto Bragstad","Chris Riggott","Rory Delap","Craig Burley","Seth Johnson","Darryl Powell","Deon Burton","Malcolm Christie","Dean Sturridge"
"97",97,"2000-10-21","West Ham","Arsenal","Shaka Hislop","Stuart Pearce","Rio Ferdinand","Nigel Winterburn","Joe Cole","Frank Lampard","Steve Lomas","John Moncur","Trevor Sinclair","Paolo Di Canio","Frederic Kanoute","David Seaman","Oleg Luzhny","Martin Keown","Gilles Grimandi","Bissan Lauren"," Silvinho","Freddie Ljungberg","Robert Pires","Patrick Vieira","Dennis Bergkamp","Sylvain Wiltord"
"98",98,"2000-10-22","Aston Villa","Sunderland","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","Lee Hendrie","Paul Merson","Steve Stone","Ian Taylor","Julian Joachim","Thomas Sorensen","Chris Makin","Jody Craddock","Emerson Thome","Julio Arca","Kevin Kilbane","Darren Williams","Michael Gray","Alex Rae","Kevin Phillips","Niall Quinn"
"99",99,"2000-10-23","Southampton","Man City","Paul Jones","Jason Dodd","Claus Lundekvam","Tahar El Khalej","Wayne Bridge","Hassan Kachloul","Matt Oakley","Stuart Ripley","Trond Egil Soltvedt","Matt Le Tissier","Marian Pahars","Nicky Weaver","Gerard Wiekens","Richard Dunne","Steve Howey","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Danny Tiatto","Jeff Whitley","Paul Dickov","Paulo Wanchope"
"100",100,"2000-10-28","Arsenal","Man City","John Lukic","Oleg Luzhny","Tony Adams","Martin Keown","Gilles Grimandi","Ashley Cole","Ray Parlour","Robert Pires","Patrick Vieira","Dennis Bergkamp","Thierry Henry","Nicky Weaver","Laurent Charvet","Gerard Wiekens","Steve Howey","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Danny Tiatto","Jeff Whitley","Paul Dickov","Shaun Goater"
"101",101,"2000-10-28","Aston Villa","Charlton","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","George Boateng","Paul Merson","Steve Stone","Ian Taylor","Julian Joachim","Dean Kiely","Steve Brown","Carl Tiler","Andy Todd","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Jonatan Johansson","Mathias Svensson"
"102",102,"2000-10-28","Chelsea","Tottenham","Ed De Goey"," Albert Ferrer","Mario Melchiot","Marcel Desailly","Frank Leboeuf","Celestine Babayaro","Samuele Dalla Bona","Gus Poyet","Dennis Wise","Jimmy Floyd Hasselbaink","Gianfranco Zola","Neil Sullivan","Stephen Carr","Luke Young","Chris Perry","Ramon Vega","Darren Anderton","Stephen Clemence","Steffen Freund","Willem Korsten","Tim Sherwood","Les Ferdinand"
"103",103,"2000-10-28","Ipswich","Middlesbrough","Richard Wright","John McGreal","Hermann Hreidarsson","Mark Venus","Richard Naylor","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","Marcus Stewart","Mark Crossley","Gianluca Festa","Curtis Fleming","Steve Vickers","Colin Cooper","Dean Gordon","Christian Karembeu","Mark Summerbell","Andy Campbell","Brian Deane","Hamilton Ricard"
"104",104,"2000-10-28","Leicester","Derby","Tim Flowers","Gary Rowett","Matt Elliott","Frank Sinclair","Callum Davidson","Steve Guppy","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi","Richard Cresswell","Mart Poom","Stefan Schnoor","Steve Elliott","Chris Riggott","Rory Delap","Craig Burley","Stefano Eranio","Seth Johnson","Darryl Powell","Simo Valakari","Deon Burton"
"105",105,"2000-10-28","Man United","Southampton","Fabien Barthez","Gary Neville","Wes Brown","Denis Irwin","Phil Neville","David Beckham","Nicky Butt","Ryan Giggs","Paul Scholes","Andrew Cole","Teddy Sheringham","Paul Jones","Jason Dodd","Claus Lundekvam","Tahar El Khalej","Wayne Bridge","Mark Draper","Hassan Kachloul","Matt Oakley","Jo Tessem","Kevin Davies","Marian Pahars"
"106",106,"2000-10-28","Sunderland","Coventry","Thomas Sorensen","Chris Makin","Jody Craddock","Emerson Thome","Julio Arca","Darren Williams","Michael Gray","Don Hutchison","Alex Rae","Kevin Phillips","Niall Quinn","Chris Kirkland","Gary Breen","Richard Shaw","Paul D Williams","Barry Quinn","Mario Ivan Guerrero","Youssef Chippo","Mustapha Hadji","Paul Telfer","John Aloisi","Craig Bellamy"
"107",107,"2000-10-28","West Ham","Newcastle","Shaka Hislop","Ian Pearce","Stuart Pearce","Rio Ferdinand","Nigel Winterburn","Michael Carrick","Joe Cole","Frank Lampard","Trevor Sinclair","Paolo Di Canio","Frederic Kanoute","Shay Given","Andy Griffin","Aaron Hughes","Alain Goma","Nolberto Solano","Gary Speed","Clarence Acuna","Kieron Dyer","Rob Lee","Lomano Tresor Lua Lua","Alan Shearer"
"108",108,"2000-10-29","Bradford","Leeds","Matt Clarke","Peter Atherton","David Wetherall","Dan Petrescu","Ian Nolan","Peter Beagrie","Jamie Lawrence","Stuart McCall","Gareth Whalley","Benito Carbone","Stan Collymore","Paul Robinson","Garry Kelly","Danny Hay","Jonathan Woodgate","Dominic Matteo","Ian Harte","Eirik Bakke","Lee Bowyer","Olivier Dacourt","Alan Smith","Mark Viduka"
"109",109,"2000-10-29","Liverpool","Everton","Sander Westerveld","Markus Babbel","Sami Hyypia","Patrik Berger","Steven Gerrard","Dietmar Hamann","Gary McAllister","Christian Ziege","Nick Barmby","Robbie Fowler","Emile Heskey","Paul Gerrard","Steve Watson","David Weir","Michael Ball","Abel Xavier","Paul Gascoigne","Thomas Gravesen","Alex Nyarko","Mark Pembridge","Idan Tal","Kevin Campbell"
"110",110,"2000-11-04","Charlton","Bradford","Dean Kiely","Greg Shields","Steve Brown","Richard Rufus","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Jonatan Johansson","Mathias Svensson","Matt Clarke","Peter Atherton","David Wetherall","Dan Petrescu","Ian Nolan","Peter Beagrie","Jamie Lawrence","Stuart McCall","Gareth Whalley","Dean Saunders","Ashley Ward"
"111",111,"2000-11-04","Coventry","Man United","Chris Kirkland","Marc Edworthy","Gary Breen","Richard Shaw","Paul D Williams","Barry Quinn","Mario Ivan Guerrero","Youssef Chippo","Mustapha Hadji","David Thompson","Jay Bothroyd","Fabien Barthez","Gary Neville","Wes Brown","Denis Irwin","Phil Neville","David Beckham","Ryan Giggs","Roy Keane","Paul Scholes","Andrew Cole","Teddy Sheringham"
"112",112,"2000-11-04","Leeds","Liverpool","Paul Robinson","Garry Kelly","Jonathan Woodgate","Dominic Matteo","Ian Harte","Eirik Bakke","Lee Bowyer","Jacob Burns","Olivier Dacourt","Alan Smith","Mark Viduka","Sander Westerveld","Markus Babbel","Sami Hyypia","Jamie Carragher","Patrik Berger","Dietmar Hamann","Gary McAllister","Danny Murphy","Vladimir Smicer","Christian Ziege","Emile Heskey"
"113",113,"2000-11-04","Man City","Leicester","Nicky Weaver","Laurent Charvet","Gerard Wiekens","Steve Howey","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Danny Tiatto","Jeff Whitley","Paul Dickov","Paulo Wanchope","Tim Flowers","Gary Rowett","Matt Elliott","Frank Sinclair","Gerry Taggart","Callum Davidson","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi","Trevor Benjamin"
"114",114,"2000-11-04","Middlesbrough","Arsenal","Mark Crossley","Curtis Fleming","Steve Vickers","Colin Cooper","Gary Pallister","Phil Stamp","Mark Summerbell","Andy Campbell","Brian Deane","Hamilton Ricard","Noel Whelan","John Lukic","Lee Dixon","Tony Adams","Martin Keown","Gilles Grimandi"," Silvinho","Freddie Ljungberg","Ray Parlour","Patrick Vieira","Dennis Bergkamp","Thierry Henry"
"115",115,"2000-11-04","Newcastle","Ipswich","Shay Given","Didier Domi","Aaron Hughes","Alain Goma","Nolberto Solano","Gary Speed","Clarence Acuna","Daniel Cordone","Kieron Dyer","Rob Lee","Alan Shearer","Richard Wright","John McGreal","Hermann Hreidarsson","Mark Venus","Richard Naylor","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","Marcus Stewart"
