"","season","team","name","MV"
"420","20062007","Fulham","Jan Lastuvka",2250000
"421","20062007","Fulham","Ricardo Batista",9e+05
"422","20062007","Fulham","Mark Crossley",450000
"423","20062007","Fulham","Tony Warner",450000
"424","20062007","Fulham","Zat Knight",2970000
"425","20062007","Fulham","Carlos Bocanegra",2250000
"426","20062007","Fulham","Ian Pearce",1350000
"427","20062007","Fulham","Philippe Christanval",9e+05
"428","20062007","Fulham","Gabriel Zakuani",0
"429","20062007","Fulham","Franck Queudrue",4050000
"430","20062007","Fulham","Niclas Jensen",1260000
"431","20062007","Fulham","Matthew Briggs",0
"432","20062007","Fulham","Moritz Volz",2520000
"433","20062007","Fulham","Liam Rosenior",1350000
"434","20062007","Fulham","Elliot Omozusi",0
"435","20062007","Fulham","Aleksey Smertin",5850000
"436","20062007","Fulham","Papa Bouba Diop",4950000
"437","20062007","Fulham","Simon Elliott",720000
"438","20062007","Fulham","Jimmy Bullard",4050000
"439","20062007","Fulham","Michael Brown",2700000
"440","20062007","Fulham","Michael Timlin",113000
"441","20062007","Fulham","Matthew Collins",0
"442","20062007","Fulham","Rob Milsom",0
"443","20062007","Fulham","Simon Davies",3330000
"444","20062007","Fulham","Ahmad Elrich",675000
"445","20062007","Fulham","Luís Boa Morte",3150000
"446","20062007","Fulham","Mark Pembridge",9e+05
"447","20062007","Fulham","Claus Jensen",4050000
"448","20062007","Fulham","Wayne Routledge",2520000
"449","20062007","Fulham","Clint Dempsey",9e+05
"450","20062007","Fulham","Vincenzo Montella",6300000
"451","20062007","Fulham","Tomasz Radzinski",2700000
"452","20062007","Fulham","Björn Runström",2030000
"453","20062007","Fulham","Collins John",2030000
"454","20062007","Fulham","Brian McBride",1350000
"455","20062007","Fulham","Heidar Helguson",1080000
"456","20062007","Charlton","Thomas Myhre",1580000
"457","20062007","Charlton","Scott Carson",1580000
"458","20062007","Charlton","Stephan Andersen",9e+05
"459","20062007","Charlton","Rob Elliot",68000
"460","20062007","Charlton","Darren Randolph",0
"461","20062007","Charlton","Souleymane Diawara",3600000
"462","20062007","Charlton","Hermann Hreidarsson",2700000
"463","20062007","Charlton","Djimi Traoré",2250000
"464","20062007","Charlton","Gonzalo Sorondo",2250000
"465","20062007","Charlton","Talal El Karkouri",1800000
"466","20062007","Charlton","Cory Gibbs",1580000
"467","20062007","Charlton","Jonathan Fortune",9e+05
"468","20062007","Charlton","Madjid Bougherra",90000
"469","20062007","Charlton","Ben Thatcher",3830000
"470","20062007","Charlton","Nathan Ashton",0
"471","20062007","Charlton","Luke Young",4050000
"472","20062007","Charlton","Osei Sankofa",45000
"473","20062007","Charlton","Alistair John",0
"474","20062007","Charlton","Alex Song",3600000
"475","20062007","Charlton","Amdy Fayé",2250000
"476","20062007","Charlton","Radostin Kishishev",2250000
"477","20062007","Charlton","Zhi Zheng",9e+05
"478","20062007","Charlton","Matt Holland",3600000
"479","20062007","Charlton","Simon Walton",180000
"480","20062007","Charlton","Omar Pouso",0
"481","20062007","Charlton","Andy Reid",5130000
"482","20062007","Charlton","Darren Ambrose",1580000
"483","20062007","Charlton","Bryan Hughes",1800000
"484","20062007","Charlton","Jerome Thomas",540000
"485","20062007","Charlton","Dennis Rommedahl",3600000
"486","20062007","Charlton","Lloyd Sam",68000
"487","20062007","Charlton","Rúrik Gíslason",45000
"488","20062007","Charlton","Darren Bent",6750000
"489","20062007","Charlton","Jimmy Floyd Hasselbaink",4320000
"490","20062007","Charlton","Marcus Bent",3380000
"491","20062007","Charlton","Kevin Lisbie",2250000
"492","20062007","Charlton","James Walker",0
"493","20062007","Blackburn","Brad Friedel",2070000
"494","20062007","Blackburn","Peter Enckelman",1130000
"495","20062007","Blackburn","Jason Brown",45000
"496","20062007","Blackburn","Stéphane Henchoz",3060000
"497","20062007","Blackburn","Lucas Neill",2700000
"498","20062007","Blackburn","Zurab Khizanishvili",2250000
"499","20062007","Blackburn","André Ooijer",2250000
"500","20062007","Blackburn","Ryan Nelsen",1800000
"501","20062007","Blackburn","Andy Todd",1620000
"502","20062007","Blackburn","Aaron Mokoena",1580000
"503","20062007","Blackburn","Jay McEveley",675000
"504","20062007","Blackburn","Christopher Samba",450000
"505","20062007","Blackburn","Eddie Nolan",0
"506","20062007","Blackburn","Stephen Warnock",1620000
"507","20062007","Blackburn","Michael Gray",1350000
"508","20062007","Blackburn","Bruno Berner",585000
"509","20062007","Blackburn","Steven Reid",3420000
"510","20062007","Blackburn","Tugay Kerimoglu",1170000
"511","20062007","Blackburn","Morten Gamst Pedersen",4050000
"512","20062007","Blackburn","Robbie Savage",3600000
"513","20062007","Blackburn","Paul Gallagher",1130000
"514","20062007","Blackburn","Brett Emerton",4050000
"515","20062007","Blackburn","David Bentley",2340000
"516","20062007","Blackburn","Sergio Peter",450000
"517","20062007","Blackburn","David Dunn",4950000
"518","20062007","Blackburn","Shabani Nonda",5400000
"519","20062007","Blackburn","Benni McCarthy",5400000
"520","20062007","Blackburn","Jason Roberts",3470000
"521","20062007","Blackburn","Francis Jeffers",2340000
"522","20062007","Blackburn","Shefki Kuqi",1580000
"523","20062007","Blackburn","Matt Derbyshire",180000
"524","20062007","Bolton","Jussi Jääskeläinen",4730000
"525","20062007","Bolton","Ian Walker",1580000
"526","20062007","Bolton","Ali Al-Habsi",360000
"527","20062007","Bolton","Chris Howarth",113000
"528","20062007","Bolton","Przemyslaw Kazimierczak",0
"529","20062007","Bolton","Sam Ashton",0
"530","20062007","Bolton","Abdoulaye Méïté",3600000
"531","20062007","Bolton","Abdoulaye Fayé",2160000
"532","20062007","Bolton","Tal Ben Haim",2030000
"533","20062007","Bolton","César Martín",1580000
"534","20062007","Bolton","Jaroslaw Fojut",158000
"535","20062007","Bolton","Lubomir Michalik",0
"536","20062007","Bolton","Blazej Augustyn",0
"537","20062007","Bolton","Ricardo Gardner",1800000
"538","20062007","Bolton","Johann Smith",45000
"539","20062007","Bolton","Scott Jamieson",0
"540","20062007","Bolton","Joey O'Brien",1350000
"541","20062007","Bolton","Nicky Hunt",9e+05
"542","20062007","Bolton","James Sinclair",0
"543","20062007","Bolton","Iván Campo",1800000
"544","20062007","Bolton","Idan Tal",810000
"545","20062007","Bolton","Andranik Teymourian",360000
"546","20062007","Bolton","Quinton Fortune",2030000
"547","20062007","Bolton","David Thompson",2480000
"548","20062007","Bolton","Gary Speed †",855000
"549","20062007","Bolton","Kevin Nolan",5400000
"550","20062007","Bolton","Stelios Giannakopoulos",3600000
"551","20062007","Bolton","Ricardo Vaz Tê",9e+05
"552","20062007","Bolton","Nicolas Anelka",8100000
"553","20062007","Bolton","El-Hadji Diouf",4950000
