"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HM1","HM2","HM3","HM4","HM5","AM1","AM2","AM3","AM4","AM5","HomeTeamLP","AwayTeamLP","MW","HTWinStreak3","HTWinStreak5","HTLossStreak3","HTLossStreak5","ATWinStreak3","ATWinStreak5","ATLossStreak3","ATLossStreak5","HTGD","ATGD","DiffPts","DiffFormPts","DiffLP"
"100",2000-10-28,"Arsenal","ManCity",5,0,"H",15,12,9,14,1.8,1.1,"3","6","7","10","11","3","3","4","5","5",2,18,10,0,0,0,0,0,0,0,0,0.6,-0.2,0.7,0.2,-16
"101",2000-10-28,"AstonVilla","Charlton",2,1,"H",13,16,9,16,1.45454545454545,1.36363636363636,"3","4","4","7","8","3","3","4","7","10",6,18,11,0,0,0,0,0,0,0,0,0.363636363636364,0,0.0909090909090909,0.0909090909090909,-12
"102",2000-10-28,"Chelsea","Tottenham",3,0,"H",19,15,14,14,1.18181818181818,1.27272727272727,"3","3","6","7","7","3","3","3","4","4",5,10,11,0,0,0,0,0,0,0,0,0.454545454545455,0.0909090909090909,-0.0909090909090909,0.272727272727273,-5
"103",2000-10-28,"Ipswich","Middlesbrough",2,1,"H",14,15,11,16,1.36363636363636,0.909090909090909,"3","4","7","8","11","0","0","3","4","5",18,12,11,0,0,0,0,0,0,0,0,0.272727272727273,-0.0909090909090909,0.454545454545455,0.272727272727273,6
"104",2000-10-28,"Leicester","Derby",2,1,"H",7,15,6,26,1.45454545454545,0.454545454545455,"0","0","1","2","5","0","0","0","1","1",8,16,11,0,0,0,0,0,0,1,0,0.0909090909090909,-1,1,0.363636363636364,-8
"105",2000-10-28,"ManUnited","Southampton",5,0,"H",26,12,8,15,1.90909090909091,0.909090909090909,"3","6","6","7","10","0","1","1","4","7",1,15,11,0,0,0,0,0,0,0,0,1.63636363636364,-0.272727272727273,1,0,-14
"106",2000-10-28,"Sunderland","Coventry",1,0,"H",8,11,11,21,1.18181818181818,1,"1","4","5","6","9","0","3","4","4","4",7,14,11,0,0,0,0,0,0,0,0,-0.272727272727273,-0.909090909090909,0.181818181818182,0.454545454545455,-7
"107",2000-10-28,"WestHam","Newcastle",1,0,"H",12,11,14,9,0.727272727272727,1.45454545454545,"0","1","2","5","6","0","3","6","6","6",9,11,11,0,0,0,0,0,0,0,0,-0.181818181818182,0.181818181818182,-0.727272727272727,0,-2
"108",2000-10-29,"Bradford","Leeds",1,1,"D",4,15,16,14,0.545454545454545,1.36363636363636,"0","0","1","1","1","1","1","4","7","8",17,3,11,0,0,0,0,0,0,0,0,-1.09090909090909,0.0909090909090909,-0.818181818181818,-0.636363636363636,14
"109",2000-10-29,"Liverpool","Everton",3,1,"H",17,13,13,16,1.63636363636364,1.09090909090909,"3","6","6","7","8","3","4","4","5","5",4,13,11,0,0,0,0,0,0,0,0,0.363636363636364,-0.272727272727273,0.545454545454545,0.272727272727273,-9
"110",2000-11-04,"Charlton","Bradford",2,0,"H",16,4,16,16,1.36363636363636,0.545454545454545,"3","3","4","7","10","0","0","1","1","1",18,17,11,0,0,0,0,0,0,0,0,0,-1.09090909090909,0.818181818181818,0.545454545454545,1
"111",2000-11-04,"Coventry","ManUnited",1,2,"A",11,31,22,8,0.916666666666667,2,"0","0","3","4","4","3","6","9","9","10",14,1,12,0,0,0,0,1,0,0,0,-0.916666666666667,1.91666666666667,-1.08333333333333,-0.416666666666667,13
