"","name","MV","season"
"588","Tomasz Kupisz",0,"20062007"
"589","Henri Camara",5670000,"20062007"
"590","Emile Heskey",4950000,"20062007"
"591","Svetoslav Todorov",1800000,"20062007"
"592","David Connolly",1800000,"20062007"
"593","Julius Aghahowa",1800000,"20062007"
"594","Caleb Folan",0,"20062007"
"595","Paul Gerrard",1580000,"20062007"
"596","Paddy Kenny",1130000,"20062007"
"597","Ian Bennett",9e+05,"20062007"
"598","Jamie Annerson",0,"20062007"
"599","David Sommeil",2250000,"20062007"
"600","Mamadou Seck",1350000,"20062007"
"601","Phil Jagielka",9e+05,"20062007"
"602","Chris Morgan",810000,"20062007"
"603","Craig Short",585000,"20062007"
"604","Chris Lucketti",450000,"20062007"
"605","Claude Davis",270000,"20062007"
"606","Matthew Kilgallon",90000,"20062007"
"607","David Unsworth",2250000,"20062007"
"608","Alan Wright",9e+05,"20062007"
"609","Chris Armstrong",383000,"20062007"
"610","Evan Horwood",0,"20062007"
"611","Leigh Bromby",540000,"20062007"
"612","Derek Geary",428000,"20062007"
"613","Rob Kozluk",360000,"20062007"
"614","Ben Starosta",0,"20062007"
"615","Ahmed Fathi",0,"20062007"
"616","Tie Li",9e+05,"20062007"
"617","Nick Montgomery",585000,"20062007"
"618","Mikele Leigertwood",270000,"20062007"
"619","Keith Gillespie",1800000,"20062007"
"620","Alan Quinn",675000,"20062007"
"621","Michael Tonge",360000,"20062007"
"622","Ian Ross",45000,"20062007"
"623","Stephen Quinn",0,"20062007"
"624","Nicky Law",0,"20062007"
"625","Kevan Hurst",45000,"20062007"
"626","Luton Shelton",158000,"20062007"
"627","Paul Ifill",1350000,"20062007"
"628","Ade Akinbiyi",2480000,"20062007"
"629","Jon Stead",2070000,"20062007"
"630","Rob Hulse",1580000,"20062007"
"631","Danny Webber",1260000,"20062007"
"632","Geoff Horsfield",1130000,"20062007"
"633","Steve Kabba",990000,"20062007"
"634","Christian Nadé",540000,"20062007"
"635","Colin Kazim-Richards",315000,"20062007"
"636","Colin Marrison",90000,"20062007"
"637","Jonathan Forte",68000,"20062007"
"638","Marcus Hahnemann",630000,"20062007"
"639","Graham Stack",315000,"20062007"
"640","Adam Federici",90000,"20062007"
"641","Mikkel Andersen",0,"20062007"
"642","Michael Duberry",2030000,"20062007"
"643","André Bikey-Amougou",1350000,"20062007"
"644","Ívar Ingimarsson",720000,"20062007"
"645","Ibrahima Sonko",630000,"20062007"
"646","Aaron Brown",180000,"20062007"
"647","Alex Pearce",0,"20062007"
"648","Sam Sodje",0,"20062007"
"649","Alan Bennett",0,"20062007"
"650","Greg Halford",0,"20062007"
"651","Péter Máté",0,"20062007"
"652","Nicky Shorey",495000,"20062007"
"653","Scott Golbourne",113000,"20062007"
"654","Ulises de Cruz",1350000,"20062007"
"655","Graeme Murty",450000,"20062007"
"656","Curtis Osano",0,"20062007"
"657","Daniel Bocande",180000,"20062007"
