"","name","MV","season"
"438","Jimmy BullardJ. Bullard","£4.05m  ","20062007"
"439","Michael BrownM. Brown","£2.70m  ","20062007"
"440","Michael TimlinM. Timlin","£113k  ","20062007"
"441","Matthew CollinsM. Collins"," ","20062007"
"442","Rob MilsomR. Milsom"," ","20062007"
"443","Simon DaviesS. Davies","£3.33m  ","20062007"
"444","Ahmad ElrichA. Elrich","£675k  ","20062007"
"445","Luís Boa MorteL. Boa Morte","£3.15m  ","20062007"
"446","Mark PembridgeM. Pembridge","£900k  ","20062007"
"447","Claus JensenC. Jensen","£4.05m  ","20062007"
"448","Wayne RoutledgeW. Routledge","£2.52m  ","20062007"
"449","Clint DempseyC. Dempsey","£900k  ","20062007"
"450","Vincenzo MontellaV. Montella","£6.30m  ","20062007"
"451","Tomasz RadzinskiT. Radzinski","£2.70m  ","20062007"
"452","Björn RunströmB. Runström","£2.03m  ","20062007"
"453","Collins JohnC. John","£2.03m  ","20062007"
"454","Brian McBrideB. McBride","£1.35m  ","20062007"
"455","Heidar HelgusonH. Helguson","£1.08m  ","20062007"
"456","Thomas MyhreT. Myhre","£1.58m  ","20062007"
"457","Scott CarsonS. Carson","£1.58m  ","20062007"
"458","Stephan AndersenS. Andersen","£900k  ","20062007"
"459","Rob ElliotR. Elliot","£68k  ","20062007"
"460","Darren RandolphD. Randolph"," ","20062007"
"461","Souleymane DiawaraS. Diawara","£3.60m  ","20062007"
"462","Hermann HreidarssonH. Hreidarsson","£2.70m  ","20062007"
"463","Djimi TraoréD. Traoré","£2.25m  ","20062007"
"464","Gonzalo SorondoG. Sorondo","£2.25m  ","20062007"
"465","Talal El KarkouriT. El Karkouri","£1.80m  ","20062007"
